373,229,391,81000
313,37,309,10800
208,179,357,32292
163,327,351,45738
129,114,207,8424
62,43,388,2700
198,25,395,5850
162,317,98,13860
287,124,51,5184
48,162,97,2079
223,271,44,6426
163,387,358,56925
158,238,49,5400
362,270,296,66861
291,285,46,9234
352,315,46,11880
180,331,193,29484
264,383,123,29376
127,279,227,19440
217,49,136,4536
277,293,146,30780
332,166,341,45738
287,250,354,59616
276,129,386,36450
379,161,122,19008
155,85,396,13500
262,397,170,42075
277,158,357,37260
299,260,309,58140
282,57,227,9720
25,159,198,2340
142,226,235,18225
198,139,37,3159
267,166,74,8415
318,236,315,54000
196,42,339,7722
32,294,143,3078
20,125,176,1584
349,275,276,64152
369,105,155,15120
184,338,282,42768
45,363,211,8694
155,57,185,4320
223,141,62,4536
237,55,85,3240
136,282,55,5832
359,280,148,37260
193,161,124,10296
294,104,289,22743
28,80,300,1710
322,335,207,51597
84,353,393,31050
331,281,374,81648
161,347,38,6534
88,364,309,24840
131,181,332,20412
230,46,67,2025
124,74,237,5400
185,246,178,20736
304,315,95,20520
179,162,222,16632
202,61,130,4212
186,299,333,43092
321,184,395,56700
351,245,140,28512
166,101,292,13167
155,333,270,32130
320,372,107,30240
66,388,260,19125
361,29,87,2484
40,204,152,3510
380,98,353,34776
363,22,358,9522
383,351,328,99792
179,217,382,36288
149,63,384,8640
308,51,231,10800
394,206,55,11700
65,353,296,19665
161,286,260,30294
191,61,59,1728
23,168,135,1782
114,277,392,32400
22,321,253,6048
121,232,243,17280
360,36,29,1242
236,226,398,50625
228,283,38,7290
196,174,38,3861
260,300,276,52326
133,346,116,14256
216,322,62,10584
128,117,172,6336
39,183,247,5184
153,170,301,18810
341,212,360,63756
390,201,293,55575
171,131,30,1782
246,26,156,2880
41,275,141,4374
267,358,298,66861
254,314,318,57600
192,127,194,11232
39,22,306,1080
173,162,92,6534
137,83,123,3888
244,120,232,17280
159,292,223,23940
292,118,225,20520
314,382,274,77760
98,393,295,29925
108,42,221,2646
111,189,141,6804
177,205,366,32292
225,369,325,68040
199,294,280,40014
138,226,180,14580
247,371,350,76032
354,108,123,11592
55,363,214,11592
192,275,29,3888
148,372,24,4320
34,311,258,9180
206,223,264,27846
231,21,111,1890
211,334,57,10584
85,339,258,20196
388,318,357,103500
179,129,117,7776
386,91,189,16200
301,92,332,21546
166,177,375,28512
178,133,93,5832
293,51,64,2736
381,217,383,72576
353,29,73,2070
154,318,162,19800
308,78,20,1800
89,297,291,19494
196,50,234,7020
76,46,318,2700
258,107,34,3213
335,301,274,64638
255,116,76,5760
230,50,184,6480
142,174,222,12474
191,233,293,30780
377,228,308,64800
171,281,178,21384
67,335,292,17955
25,26,262,612
400,111,228,23625
87,162,172,6534
265,115,104,8568
57,380,262,14688
184,44,317,6480
97,51,314,5040
292,173,89,11286
251,126,258,19584
272,265,273,46818
219,331,55,10584
127,261,385,30600
382,348,335,99792
128,244,383,27648
269,327,148,32130
195,158,77,5850
283,56,139,5832
272,213,27,4284
54,130,179,3888
104,78,26,630
282,106,192,13608
287,43,138,4374
387,109,336,33075
190,149,26,2160
318,44,42,1620
300,365,25,7866
334,37,376,13608
337,264,323,70686
180,110,161,8316
350,135,200,23166
144,59,192,3888
222,30,118,2016
71,238,119,5400
71,265,347,16830
261,29,96,1836
292,212,215,33516
182,325,40,6804
225,399,293,64125
287,322,197,44226
171,137,117,7128
300,107,284,21546
324,30,41,1134
164,150,195,12870
328,320,365,86940
382,305,102,30240
328,379,227,68040
330,372,151,45360
173,126,312,15840
324,166,304,39501
376,286,32,7776
311,389,108,31500
117,114,132,5184
379,245,261,58752
284,79,366,18630
143,63,283,5832
80,318,263,15300
124,311,306,28800
390,249,363,82800
358,138,316,37260
178,312,323,45360
178,330,44,6804
209,219,201,22932
103,168,195,9009
200,81,352,15444
92,281,205,12636
378,223,99,21168
58,199,46,1404
362,309,344,91080
331,109,276,23814
228,175,170,16335
358,161,399,56925
118,219,314,20160
397,213,96,18900
234,272,164,25245
291,388,122,34200
237,47,46,1215
193,117,45,2808
208,89,149,7020
180,76,158,5400
290,335,112,25137
126,331,207,19656
138,329,90,10206
298,112,314,23940
361,158,245,33120
75,147,243,7200
283,160,81,9720
91,144,372,11664
293,196,216,31122
164,339,196,28314
198,189,187,16848
340,190,171,26136
271,353,89,21114
40,175,160,2970
318,351,370,95040
82,336,315,22680
173,80,171,5445
313,398,304,85500
209,235,322,39690
260,375,165,40392
295,219,173,26334
160,211,30,2520
82,137,56,1944
227,200,93,10530
164,197,68,6435
239,55,348,11880
340,150,370,47520
273,215,369,54432
111,44,372,4536
394,21,156,4500
352,61,229,11880
156,385,350,49500
226,225,251,32400
136,130,348,16038
116,249,142,10368
65,206,304,11115
74,399,324,23625
236,174,329,31185
322,99,37,3969
31,230,129,2430
98,83,183,4536
26,71,70,450
