175,22,52,792
38,231,207,5265
270,198,255,31824
275,45,189,5832
267,37,300,8721
287,95,129,8748
165,143,100,6237
205,260,271,33813
291,70,276,15390
280,96,257,16524
240,79,248,10800
182,67,67,2700
128,174,269,13464
232,248,272,36720
291,255,27,5472
200,256,115,14976
200,197,280,27378
226,205,155,17550
226,70,147,6750
154,241,290,27360
205,85,184,8424
289,143,148,15390
167,286,39,5346
215,199,263,27846
245,180,67,8640
155,110,129,5670
216,158,183,15120
285,120,216,18144
91,102,137,3402
43,74,56,540
96,159,73,2700
294,166,53,7524
155,61,94,2160
90,33,253,2592
141,295,132,13851
203,161,276,23166
134,97,281,10206
120,285,76,6480
59,193,49,1872
82,34,232,2430
89,142,80,2430
233,197,269,29835
156,235,271,22950
91,137,84,2916
182,167,282,21384
186,148,251,17280
77,292,264,14535
76,206,147,5850
36,93,242,2592
176,254,259,26928
25,285,151,3240
201,41,40,1053
300,82,25,2052
223,123,264,17136
171,227,69,7425
283,111,238,17010
268,87,173,10098
92,192,179,7776
109,146,52,2520
98,253,106,7056
189,299,101,14364
143,42,76,1215
53,39,133,972
218,93,144,6804
168,219,138,12474
163,242,58,6336
258,293,227,43605
213,56,122,4032
112,106,203,5733
155,21,50,720
264,172,265,28611
193,102,127,6552
177,189,205,16848
263,224,140,19278
101,58,156,2520
61,296,28,1368
120,114,239,8640
298,223,284,43092
132,158,129,7290
258,127,247,19584
124,36,125,1728
251,56,166,6336
26,95,229,1620
157,23,268,3060
109,66,65,1575
280,179,88,11664
118,295,174,15048
90,121,172,4752
93,30,100,756
119,135,221,9072
189,83,36,1944
234,267,154,22950
127,205,33,2808
149,256,142,12960
107,38,95,1134
192,184,211,18144
55,25,83,432
60,257,292,11628
132,170,182,10692
151,252,263,24480
166,97,292,13167
114,129,236,9720
259,184,195,23868
147,75,183,5400
173,271,176,18513
295,73,205,11115
203,279,88,12636
170,20,254,3168
24,55,154,720
186,62,158,4320
67,262,221,10710
104,187,103,5292
43,144,145,2430
80,166,258,8415
204,223,24,3276
129,147,258,13770
173,71,225,7425
185,285,79,9720
80,102,244,5040
77,287,153,8100
219,73,296,11970
84,115,167,4752
86,58,119,1728
56,193,169,5148
80,44,237,2025
274,185,287,34992
84,140,231,7290
119,223,232,15120
60,247,184,6912
146,49,163,3960
100,165,220,9702
276,218,93,13608
217,88,280,13608
260,22,98,2142
46,88,146,1620
294,168,253,30096
158,104,181,7560
172,142,207,11583
71,118,50,1440
197,150,249,18720
270,219,94,12852
128,66,152,3600
169,108,192,8316
169,29,222,2772
144,202,170,11583
293,72,107,5985
255,46,132,3888
229,39,88,2430
143,219,204,14742
75,51,283,3240
174,107,195,9009
234,276,40,7290
34,164,140,2673
187,150,151,10800
181,270,186,22032
82,230,227,12150
49,263,272,10404
139,226,31,2430
106,117,67,2520
64,85,271,3672
237,59,33,1620
136,96,65,2430
155,177,148,10800
257,79,79,3825
134,29,280,2916
188,33,62,1296
234,30,238,4050
241,198,91,11232
98,293,234,17955
206,148,206,15210
155,162,129,8910
231,55,31,1080
142,90,101,3402
58,289,184,8208
234,188,196,21060
50,120,256,4608
180,64,161,4752
125,159,145,7200
67,42,213,1890
58,260,155,6120
220,46,283,6804
296,22,234,5130
193,79,231,8775
113,32,137,1296
185,50,236,6480
106,272,123,8568
259,216,111,14994
26,265,156,3060
270,186,117,14688
248,285,254,41472
72,165,107,3465
90,102,281,6804
263,278,140,24786
269,200,222,27846
270,60,210,8568
82,123,164,4752
120,159,119,5760
215,110,95,5292
168,136,39,2673
26,155,230,2700
51,172,187,4752
246,141,282,23328
117,64,202,3744
229,182,206,21060
242,48,74,2160
34,91,247,2592
81,93,268,5508
284,141,131,13122
115,32,84,864
249,246,267,39168
271,204,169,21879
102,291,242,19152
221,231,58,7560
118,79,186,4320
170,253,241,25344
268,187,89,11016
59,68,27,360
212,138,70,5670
254,200,242,29952
71,207,288,10530
293,220,193,31122
287,278,36,8748
35,129,68,1215
259,89,77,4590
168,52,109,2772
230,126,144,9720
130,41,259,4131
46,223,72,1890
41,74,234,2025
244,257,92,14688
43,74,295,2565
77,108,101,2205
270,192,88,11016
293,269,297,55233
88,227,97,5670
184,126,115,6912
96,30,192,1296
199,162,120,10296
198,249,205,24336
124,50,27,576
115,117,262,9792
89,121,84,2592
101,288,235,17010
61,229,236,8100
158,70,81,2700
147,241,42,4320
116,296,149,13680
248,231,149,21600
93,176,131,5346
193,26,139,2106
25,198,99,1638
166,297,86,11286
99,149,168,6930
294,177,36,6156
138,22,226,2430
125,69,247,5760
79,122,131,3240
296,134,117,12312
87,113,166,4752
143,259,174,15147
130,225,195,15795
34,51,174,1188
100,60,60,1008
257,253,106,17136
217,149,55,5040
149,91,38,1620
106,188,241,12096
126,166,242,12672
141,191,219,13608
170,104,275,12474
140,73,107,2835
177,38,107,2268
269,67,48,2295
52,135,279,5832
283,258,186,33048
149,143,93,4860
132,169,243,14256
183,61,191,5184
195,192,296,26676
247,206,57,7488
98,265,130,9639
194,209,133,14742
132,222,67,5670
275,20,267,5508
82,142,204,6318
231,178,57,6480
224,68,157,6300
62,166,289,7524
281,250,96,15552
282,296,60,12312
72,200,232,8775
139,255,146,12960
50,29,65,360
157,138,136,7290
78,21,293,1710
98,243,97,7056
127,279,38,3888
222,270,106,14994
207,238,217,24570
267,270,106,18207
38,247,167,4752
212,144,254,18144
47,240,203,5265
228,277,247,38880
28,48,118,432
116,90,257,7344
200,165,292,24453
186,124,162,9504
64,149,153,3600
173,114,62,3168
223,197,173,18018
101,56,125,2016
288,63,179,7776
